Board;Level;Paper;Year;Session;Title;Excerpt;Content;Verified Explanation;Tags
Cambridge;A;7707 - Accounting;2007;Oct Nov;Are two atoms of the same element identical?;No. Two atoms of the same chemical element are typically not identical. First of all, there is a range of possible states that the electrons of an atom can occupy. Two atoms of the same element can be different if their electrons are in different states. If one copper atom has an electron in an excited state and another copper atom has all of its electrons in the ground state, then the two atoms are different. The excited copper atom will emit a bit of light when the electron relaxes back down to the ground state, and the copper atom already in the ground state will not.;"Since the states of the electrons in an atom are what determine the nature of the chemical bonding that the atom experiences, two atoms of the same element can react differently if they are in different states. For instance, a neutral sodium atom (say, from a chunk of sodium metal) reacts with water much more violently than an ionized sodium atom (say, from a bit of salt). Chemists know this very well. It's not enough to say what atoms are involved if you want to fully describe and predict a reaction. You have to also specify the ionization/excitation states of the electrons in the atoms. Even if left alone, an atom often does not come with an equal number of protons and electrons.

But what if two atoms of the same element both have their electrons in the same states. Then are they identical? No, they are still not identical. Two atoms of the same element and in the same electronic state could be traveling or rotating at different speeds, which affects their ability to chemically bond. Slower moving atoms (such as the atoms in solid iron) have time to form stable bonds, while faster moving atoms (such as the atoms in liquid iron) cannot form such stable bonds. A slow moving tin atom acts differently from a rapidly moving tin atom.

But what if two atoms of the same element both have their electrons in the same states, and the atoms are both traveling and rotating at the same speed. Then are they identical? No. Although two such atoms are essentially chemically identical (they will chemically react in the same way), they are not completely identical. There's more to the atom than the electrons. There's also the nucleus. The nucleus of an atom contains neutrons and protons bonded tightly together. The same chemical element can have a different number of neutrons and still be the same element. We refer to the atoms of the same element with different numbers of neutrons as ""isotopes"". While the particular isotope involved does not affect how an atom will react chemically, it does determine how the atom will behave in nuclear reactions. The most common nuclear reaction on earth is radioactive decay. Some isotopes decay very quickly into other elements and emit radiation, while other isotopes do not. If you are doing carbon dating, the fact that a carbon-12 atom is not identical to a carbon-14 atom is essential to the dating process. Simply counting the number of carbon atoms in a sample will not give you any information about the age of a sample. You will have to count the number of different isotopes of carbon instead.";"But what if two atoms are the same element, have electrons in the same state, are traveling and rotating at the same speed, and have the same number of neutrons; then are they identical? No. Just like the electrons, the neutrons and protons in the nucleus can be in various excited states. In addition, the nucleus as a whole can rotate and vibrate at various speeds. Therefore, even if all else is identical, two gold atoms can have their nuclei in different excited states and behave differently in nuclear reactions.

To state the case succinctly, it is very hard to have two atoms of the same element be exactly identical. In fact, succeeding in coaxing a group of atoms to be very close to identical was worthy of a Nobel Prize. With that said, don't think that atoms have individual identities beyond what has been mentioned here. If two carbon atoms are in the exact same molecular, atomic, electronic and nuclear states, then those two carbon atoms are identical, no matter where they came from or what has happened to them in the past.";pay,product,clean,honor,sick
Edexcel;O;2210 - Computer Science;2016;Oct Nov;Can water stay liquid below zero degrees Celsius?;"Yes, water can stay liquid below zero degrees Celsius. There are a few ways in which this can happen.

First of all, the phase of a material (whether it is gas, liquid, or solid) depends strongly on both its temperature and pressure. For most liquids, applying pressure raises the temperature at which the liquid freezes to solid. A solid is formed when the loose, meandering molecules of a liquid get slow enough and close enough to form stable bonds that pin them in place. When we apply pressure to a liquid, we force the molecules to get closer together. They can therefore form stable bonds and become a solid even if they have a higher temperature than the freezing point at standard pressure.";"Water is somewhat unique, though. Water molecules spread out when they are bonding into a solid crystalline structure. This spreading-out action leads ice to be less dense than liquid water, causing ice to float. This spreading-out action of the water molecules during freezing also means that applying pressure to water lowers the freezing point. If you apply enough pressure (making it hard for the water molecules to spread out into the solid structure), you can have liquid water several degrees below zero degrees Celsius.

Even if you don't apply pressure, you can still have liquid water at sub-zero temperatures using additives. Additives such as salt can interfere with the chemical bonding needed to form a solid and they therefore can lower water's freezing point. Salt is composed of strong sodium and chlorine ions. When dissolved in water, the water molecules tend to stick to the salt ions instead of to each other, and they therefore don't freeze as readily. As you add more salt to water, its freezing point continues to drop until the water reaches saturation and cannot hold any more salt. If you add enough salt, the freezing point of water can be dropped as low as -21 degrees Celsius. This fact means that water at -21 degrees Celsius can still remain liquid if enough salt is added. Instead of keeping liquid water from freezing, this powerful property of salt can also be used to turn ice back into water. Sprinkling salt on icy sidewalks lowers the freezing point of the ice below the ambient temperature and the ice melts. But sprinkling salt on icy walkways won't help if the ambient temperature is below -21 degrees Celsius. The effect of salt on water's freezing point also has profound effects on earth's oceans.";"Even if you don't apply pressure and don't add anything to the water, you can still have liquid water at temperatures below zero degrees Celsius. In order for water to freeze to ice, it needs something to freeze onto to start the process. We call these starting points ""nucleation centers"". In most situations, a little bit of dust, impurity, or even little vibrations in the water provide nucleation centers for the water to freeze onto. But if your water is very pure and very still, there is nothing for the water molecules to crystallize onto. As a result, you can cool very pure water well below zero degrees Celsius without it freezing. Water in this condition is called ""supercooled"". At standard pressure, pure water can be supercooled to as low as about -40 degrees Celsius. Supercooled water is kept from freezing only by the lack of nucleation centers. Therefore, once nucleation centers are provided (which could be as simple as a vibration), the supercooled water quickly freezes. Freezing rain is a natural example of supercooled liquid water. Once freezing rain hits an object on earth's surface, that object provides nucleation centers, and the rain freezes to ice.";bend,rest,large,feel,roll
Edexcel;AS;2281 - Economics,;2021;May Jun;Can you light diamond on fire?;Yes, diamond can be burned. The most common form of burning in everyday life is carbon combustion. In carbon combustion, carbon atoms break their bonds with each other and with other atoms (which requires energy) to form bonds with oxygen atoms (which releases even more energy than first required).;"The net extra energy released in this reaction can then go on to rip more carbon atoms free of their non-oxygen neighbors, thus continuing the reaction, or the energy can escape as heat and light. Carbon bonded with oxygen makes carbon dioxide and carbon monoxide, which are the waste products of combustion. They drift away from the fire as gases. Since biological organisms, and the fuels derived from biological organisms, contain a lot of carbon, much of the burning that goes on around us is carbon combustion. This includes camp fires, candles, car engines, and gas stoves. Pure diamond consists only of carbon atoms bonded into a dense, strong crystal lattice, so diamond can also undergo carbon combustion. In fact, Antoine Lavoisier first determined that diamond is made out of carbon by burning it and showing that the combustion product was carbon dioxide. The book Diamond Films and Coatings by Robert Foster Davis states, ""In 1772 the French chemist Antoine L. Lavoisier found that the products of diamond combustion behaved as, and most assuredly were, solely carbon dioxide... He determined that the ignition and burning of each produced equal amounts of ‘bound air'.""";The presence of strong atomic bonds in diamond means that it takes a lot of energy to rip apart the carbon atoms in diamond in order to free them up to burn with oxygen. As a result, it takes a higher temperature to burn diamond than to burn wood. The ignition temperature of wood is about 300 degrees C while the ignition temperature of diamond in air is about 900 degrees C. Although diamond requires a higher temperature to burn, it does indeed burn via normal carbon combustion. You can even burn diamond in a regular flame if you are patient and conditions are right. To accelerate the burning of diamond, you can give it more heat and more oxygen. For instance, holding a blow torch to a diamond and then throwing it in a cup of liquid oxygen leads to an impressive display. Jewelers have to worry about this effect every day because they use flames to mold the metal in a diamond ring but don't want to burn the diamond.;not,congress,energy,friendly,properly
Edexcel;AS;5070 - Chemistry;2012;Jan Feb;How bad of an alcoholic do you have to be to have your brain affected?;One drink of alcohol is enough to affect your brain, whether you are an alcoholic or a casual social drinker. Alcohol is a psychoactive drug that interferes directly with the normal functioning of many parts of the brain. Fortunately, much of the effect caused by alcohol consumption can be repaired by the body when the person stops drinking. But ongoing alcohol consumption at heavy levels can cause damage so severe that the body cannot repair it and the damage becomes permanent. The National Institute of Health states,;"""Difficulty walking, blurred vision, slurred speech, slowed reaction times, impaired memory: Clearly, alcohol affects the brain. Some of these impairments are detectable after only one or two drinks and quickly resolve when drinking stops. On the other hand, a person who drinks heavily over a long period of time may have brain deficits that persist well after he or she achieves sobriety...Alcohol can produce detectable impairments in memory after only a few drinks and, as the amount of alcohol increases, so does the degree of impairment. Large quantities of alcohol, especially when consumed quickly and on an empty stomach, can produce a blackout, or an interval of time for which the intoxicated person cannot recall key details of events, or even entire events.""";Drinking alcohol (ethanol) is a two-carbon alcohol with the molecular formula CH3-CH2-OH. The hydroxyl group on the end (-OH) is able to participate in hydrogen bonding and accounts for much of its physical properties.;giving,bend,care,behavior,adventure
Cambridge;O;2210 - Computer Science;2012;Oct Nov;How can glass be a liquid if it's so hard?;"Glass is not a liquid in the strictest sense of the word. But it is also not a standard solid. The chemistry of glass is complex and research is ongoing, but the current consensus is that glass is a phase of matter all its own, known as an ""amorphous solid"".";"Scientists refer to any amorphous solid as a ""glass"". Glass transitions are highly complex and cannot be treated in the same way as traditional phase transitions, according to the textbook ""Glasses and the Glass Transition"" by Ivan S. Gutzow.";;knife,dropped,silly,toward,soon
Cambridge;O;2281 - Economics,;2014;Jan Feb;"How do I know if something is an acid so I can avoid eating it?
";"You eat acids all the time without knowing it and it's usually perfectly healthy. The danger is eating strong acids in high concentrations. The word ""acid"" describes a wide variety of substances that lie on a continuous spectrum of strength from essentially neutral to extremely acidic. As most chemistry textbooks note, we are surrounded by acids. Citric acid is what gives lemons, limes, oranges and grapefruits their zing.";"Phosphoric acid is used in colas. The building blocks of life; amino acids, fatty acids, DNA, and RNA; are all acids. Acid is one of the fundamental flavors our tongues can taste. We call it ""sour"" in everyday life. Anything that tastes sour – from vinegar (acetic acid) to sour cream (lactic acid) – has acid. Even strong acids can be safe in low concentrations. Hydrochloric acid is found naturally in the human stomach and is used to help digest food. The real danger to humans is when strong acids are found in high concentrations, such as the hydrochloric acid in toilet bowl cleaners or the sulfuric acid in car batteries.";Returning to the original question, how do you know if a substance is an acid with dangerously high concentration? There are all sorts of tests you could do, but it's better just to play it safe. Never eat an item unless you are sure it is food. Generally, it's not a good idea to eat household cleaners, disinfectants, antiseptics, rust removers, or battery juice, as these contain toxic chemicals such as acids in high concentration.;say,done,clothes,using,stand
Edexcel;AS;2281 - Economics,;2003;Aug Sep;"How do plants get their nitrogen from the air?
";Plants do not get their nitrogen directly from the air. Although nitrogen is the most abundant element in the air, every nitrogen atom in the air is triple-bonded to another nitrogen atom to form molecular nitrogen, N2. This triple bond is very strong and very hard to break (it takes energy to break chemical bonds whereas energy is only released when bonds are formed). As a result, even though nitrogen in the air is very common, it is energetically unfavorable for a plant to split the nitrogen molecule in order to get the raw atoms that it can use.;"The strong triple bond of N2 also makes it hard for molecular nitrogen to react with most other chemicals. This is, in fact, part of the reason there is so much nitrogen in the air to begin with. Also, the stability and symmetry of the nitrogen molecule makes it hard for different nitrogen molecules to bind to each other. This property means that molecular nitrogen can be cooled to very low temperatures before becoming liquid, leading liquid nitrogen to be a very effective cryogenic liquid.

The act of breaking apart the two atoms in a nitrogen molecule is called ""nitrogen fixation"". Plants get the nitrogen that they need from the soil, where it has already been fixed by bacteria and archaea. Bacteria and archaea in the soil and in the roots of some plants have the ability to convert molecular nitrogen from the air (N2) to ammonia (NH3), thereby breaking the tough triple bond of molecular nitrogen. Such organisms are called ""diazotrophs"". From here, various microorganisms convert ammonia to other nitrogen compounds that are easier for plants to use. In this way, plants get their nitrogen indirectly from the air via microorganisms in the soil and in certain plant roots. Note that lightning and high-energy solar radiation can also split the nitrogen molecule, and therefore also fixes the nitrogen in the air. However, the amount of nitrogen fixed by lightning and solar radiation is insignificant compared to the amount fixed by diazotrophs in the soil and in roots. In his book Nitrogen Fixation, John Postgate states,";"The fixation of nitrogen – the conversion of atmospheric nitrogen into a form that plants can use – is a process fundamental to world agriculture. It comes about as a consequence of spontaneous, anthropogenic and biological activities. The existence and importance of the biological component have been recognized for more than a century, but scientific advances over the past few decades have radically altered our understanding of its nature and mechanisms.

The biological nitrogen cycle crucially depends on soil-inhabiting and root-inhabiting bacteria and archaea, which split apart the nitrogen molecules from the air. Public Domain Image, source: EPA.";clean,liquid,glass,yard,deeply
Edexcel;AS;3204 - Bengali;2012;May Jun;How does dissolving a salt molecule in water make its atoms ionize?;"Dissolving a salt molecule in water does not make its atoms ionize. The atoms in solid salts are already ionized long before touching water.

Electrons in an atom can only take on specific wave states, and only one electron can occupy one wave state at a time. As a result, electrons in an atom take different states, starting from the lowest energy state and going upwards in energy until the electrons have all found distinct states. For various reasons that are not worth mentioning here, electron states in atoms tend to form various groups, with the states in the same group having very similar energies and states. Chemists call these groups of electron states ""shells"", even though they have nothing to do with literal shells.";"The interesting thing is that an atom with completely filled shells is very stable (all the available states in each group are occupied by electrons). On the other hand, an atom with its outermost shell only partially filled has a strong tendency to steal, lose, or share electrons from other atoms in order to fill its outermost shell and become stable. Such atoms are therefore chemically reactive. A well-known salt is sodium chloride (table salt), so let's use it as an example. A single neutral sodium atom has eleven electrons. Ten of these electrons fill states such that they form complete shells. The eleventh electron of sodium, however, is alone in the outermost, partially filled shell. Electrons are bound in atoms because their negative electric charge experiences electric attraction to the positive charge of the atom's nucleus. But for sodium, the negatively-charged electrons in the inner, completed shells do a good job of blocking, or screening, the attractive force of the nucleus on the eleventh electron. As a result, the eleventh electron of sodium is loosely bound to the atom and is ripe for being stolen by a more powerful atom.

In contrast, chlorine (17 electrons) has all of its shells filled with electrons except for its outermost shell which is one electron short of being complete. There is a very strong attraction by the chlorine atom on an outside electron which is needed to complete its shell. Sodium and chlorine are therefore a perfect match. Sodium has one electron it is not holding onto very strongly, and chlorine is looking for one more electron to steal to fill its shell. As a result, a pure sample of sodium reacts strongly with a pure sample of chlorine and the end product is table salt. Each chlorine atom steals an electron from the sodium atom. Each sodium atom now has 11 positive protons and 10 negative electrons, for a net charge of +1. Each chlorine atom now has 17 positive protons and 18 negative electrons for a net charge of -1. The atoms have therefore been ionized by the reaction that forms solid table salt, all without the presence of water. Both the sodium and the chlorine ions now have completely filled shells and are therefore stable. This is a good example of an atom that naturally has an unequal number of electron and protons.

The net positive sodium ion is now attracted to the net negative chlorine ion and this attraction forms what we call an ""ionic bond"". But, in reality, we don't have just one sodium ion sticking to ion chlorine ion. Instead, a lattice of many sodium ions ionically bonds to a lattice of chlorine ions, and we end up with a crystalline solid. Each sodium ion in the crystalline lattice of table salt is bound to the 6 nearest chlorine ions, and the same goes for each chlorine ion. The atoms in table salt are therefore already in the ionized state.";"Adding water does not ionize the atoms in salt, because they are already ionized. Instead, the water molecules stick to the already formed ions in the salt. The textbook titled Cell and Molecular Biology: Concepts and Experiments by Gerald Karp states, ""A crystal of table salt is held together by an electrostatic attraction between positively charged Na+ and negatively charged Cl– ions. This type of attraction between fully charged components is called an ionic bond (or a salt bridge). Ionic bonds within a salt crystal may be quite strong. However, if a crystal of salt is dissolved in water, each of the individual ions becomes surrounded by water molecules, which inhibit oppositely charged ions from approaching one another closely enough to form ionic bonds."" Each water molecule has a permanent dipole, meaning that one end is always slightly positively charged and the other end is always slightly negatively charged. The charged ends of the water molecules are so strongly attracted to the charged ions in the salt crystal that the water destroys the solid lattice structure of the salt and each sodium and chlorine ion becomes surrounded by a layer of sticky water molecules. In chemistry, we say the salt has been dissolved by the water. It's like a rock band exiting the limousine into a crowd of fans and becoming separated as each band member gets surrounded by his own circle of fans. If the atoms in solid salt were not ionized to begin with, the water would not do such a good job dissolving the salt.";though,done,say,difficulty,sitting
Cambridge;O;5070 - Chemistry;2012;Aug Sep;How does plasma make a campfire flame orange?;The de-excitation of plasma (charged gas) is not the source of the light given off by a campfire's flame. The incandescence of solid soot particles billowing up on an updraft of hot air is what creates the light seen as a flame. Let us look at the typical ways materials emit light and then apply it to the campfire.;"Electrons in molecules can exist in various orbital states. When electrons absorb energy, they are lifted to a higher energy state in the molecule. This is roughly similar to lifting a ball onto a high shelf where it can fall back down from. The absorbed energy of the electron is stored as potential energy as it sits in the higher energy state. Many things can excite an electron in a molecule to a higher energy state, including chemical reactions, collisions with other particles, and absorption of light. Eventually, excited electrons fall back down to their lower states, like a ball on a shelf rolling and falling back to the ground. When the electrons fall, their potential energy is lost and given off. There are many ways that a falling (de-exciting) electron can give off its energy, but the most common way is for it to emit a bit of light called a photon. As a result, any process that excites electrons leads to light being created when they de-excite. Often, this light has a non-visible color or is too dim to be seen by human eyes, but the light is still being created.

Because of the law of conservation of energy (which states that energy cannot be created or destroyed), all of the energy that the electron loses in transitioning from a higher state to a lower state must be given to the photon that it creates. Electron states only exist at fixed levels that are constant for a given molecule, so a certain isolated molecule can only emit photons of specific energies. Because a photon's frequency (the light's color) is directly proportional to its energy, certain isolated molecules can only emit certain colors of light. The specific set of colors that a molecule emits (its spectrum) is unique to the molecule and acts like a fingerprint. Astronomers can tell what chemicals a star is made out of by simply looking at what colors are present in its starlight. By plotting the few, distinct colors present in the light given off by a single molecule, a ""line spectrum"" is formed, which looks like a collection of thin lines. In addition to electrons getting excited, the whole molecule itself can get excited by spinning more or vibrating more. There are therefore three ways a molecule can emit light: an electron falls to a lower state (electron transition), the molecule spins less (rotational transition), and the molecule vibrates less (vibrational transition).

Now something interesting happens if you have more than one molecule involved. If you have a collection of molecules, they tend to bump into each other. When they collide, some of the energy in the excited electrons, excited spinning states, and excited vibrating states is converted simply to movement (kinetic energy). As a result, there is less energy present for the photon that is emitted when the molecule transitions, leading to a photon with a color that is different from if there had been no collision. Because the collisions are random, the color changes of the light given off are random. Where there was just one color (a line) in a certain portion of the spectrum of the light emitted, there are now many colors. Collisions between molecules therefore tend to smear the nice crisp lines of the light's color spectrum into bands with many colors. The more collisions there are and the harder they are, the more colors there are in the light given off.

If there is a very high amount of strong collisions between molecules, all of the light given off by molecular transitions gets smeared into one continuous band of colors. In such a case, all colors of the rainbow are present in the light and the light is therefore white. The light is typically not pure white, but is whitish red, whitish orange, etc. depending on the nature of the collisions. Light with this broad arrangement of colors is called ""thermal radiation"" or ""blackbody radiation"" and the process that creates this light is called ""incandescence"". In every day life, we refer to incandescence as ""glowing hot"". A material with zero collisions therefore emits a line spectrum, which is a collection of a few perfectly defined, unsmeared colors. On the other extreme, a material with an infinite number of collisions emits a blackbody spectrum, which is a perfectly smooth collection of all colors in a very distinct distributional shape called a ""blackbody curve"". The two opposite extremes; the line spectrum and the blackbody spectrum; are idealizations. In the real world, each spectrum is somewhere between the two extremes. When we say that the color distribution of light is a line spectrum, we mean that it is close to a line spectrum, and not that it is exactly a line spectrum.

There are two things that determines how fast molecules collide with each other. The first is the density of the molecules. The closer the molecules are together, the more chance they have to collide. Solids have their molecules very close together and therefore collide enough to emit all colors of light. Solids typically emit a spectrum that is close to a blackbody spectrum. On the other hand, a dilute gas has its molecules much farther apart, so the color distribution of its emitted light looks more like a line spectrum. The other thing that affects the collision rate is the temperature of the object. As an object gets hotter, its molecules shake around more and move faster, which leads to more collisions. More collisions means more spectral line spreading, and it also means that more energy is being exchanged in each collision. The thermal spectral curve shifts to higher energies for higher temperatures, which is the same as higher frequencies. Room temperature objects are constantly emitting light in a color we can't see (infrared). As we heat up an object such as an electric stove element, the collisions between molecules become more intense and more frequent. The light given off therefore has a spectral thermal distribution that shifts to higher frequencies. The peak of the light given off by a heated object shifts from infrared, to red, to orange, and so on as it gets hotter. But remember, that thermal radiation contains all colors, so that hot metal does not glow red, it actually glows whitish red, and then whitish orange as it gets hotter, etc. (Remember that ""white"" is just how we experience an equal mixture of all colors.)

Let us look at some examples. A neon sign contains a gas at normal temperature getting excited by electricity. The light emitted by a neon sign is therefore close to a line spectrum (just a few, sharply defined colors). In contrast, the sun contains gas, but the gas is at such a high temperature that the light emitted is close to a blackbody spectrum. The metal elements in a toaster, electric stove, and incandescent light bulb are all solid and therefore glow when heated such that the light they produce is close to a blackbody spectrum, which contains all colors and therefore is whitish.";"Now let us apply this to a campfire's flame. At first thought, you may think that the space where the flame exists only contains gases, therefore the light emitted should be a line spectrum with only a few distinct colors. This is clearly not the case. The flame has a broad range of colors, from red to orange to yellow and all the colors in between. So there must be more going on than heated gases. The best general description of a campfire flame's color is: whitish orange. This description matches exactly what we would expect from the thermal radiation of incandescence. It turns out that a campfire flame contains small solid particles of half-burnt wood called ""soot"" that are so hot that they glow. They glow in the exact same way that electric stove elements glow. When you look at a whitish-orange flame, you are looking at a cloud of little, hot, glowing, solid bits of half burnt fuel. The hot air that is flowing upwards catches this glowing soot and carries it upwards. As the soot rises, it cools and its thermal spectrum shifts to ever lower colors. That is why the bottom of a flame is whitish-yellow, and as you look higher, it changes to whitish-orange, and then whitish-red, and then to whitish-infrared (which we can't see, but can feel with our hands). The flame of a campfire actually extends meters into the air, we just can't see the top portion because the soot has cooled enough to emit mostly infrared colors.

Interestingly, the presence of half-burnt soot in a flame, and therefore the flame's whitish color, is a result of there not being enough oxygen. If oxygen is pumped fast enough into the fire, or is premixed properly with the fuel, all of the fuel gets burned all the way and there is no soot. Adding enough extra oxygen therefore makes the whitish-orange flame go away. The color that remains in the flame (usually blue) is from the electron transitions involved in the chemical reaction itself. Fuels that don't need much oxygen to burn, such as the natural gas in a gas stove, can burn without giving off whitish-orange glowing half-burnt particles.";liquid,natural,driven,care,behavior
Cambridge;AS;1123 - English Language;2003;Oct Nov;"How does tomato juice make skunk smell go away?
";Tomato juice does not make skunk odor go away. More specifically, tomato juice does not react chemically with the skunk odor to destroy it. Instead, it simply has a strong enough smell on its own to partially mask the skunk smell. But in this respect, it is no different from any other strong odor. Perfume or scented candles will do just as well as tomato juice to mask the skunk smell.;As soon as the tomato juice scent wears away, the skunk odor becomes noticeable again. A better approach is to deactivate the skunk spray through chemical reactions. Your allies in this effort are bleach, hydrogen peroxide, and backing soda. Wash clothes and fabrics that have the skunk smell in bleach. To clean hard surfaces that have the skunk odor, spray on a cleaning solution that contains bleach, let it sit, and then wipe off. To clean items that can not withstand bleach, such as pet fur or colored clothes, instead use a hydrogen peroxide/baking soda solution. Combine one quart of 3% hydrogen peroxide, 1/4 cup baking soda and 2 tbsp. liquid dish detergent for an excellent skunk odor killer that is safe enough to bath pets in. For best results, this solution should be scrubbed into the fur or fabric while still foaming. Note that this mixture is potentially explosive if left to sit too long in a sealed container. Discard the unused portion instead of storing it.;The culprits in skunk spray are chemicals called thiols which contain sulfur. Skunk spray also contain thioacetates, which degrade slowly into stinky thiols. This degradation process is what gives skunk odor its longevity. Reactive agents such as bleach and hydrogen peroxide work to deactivate the thiols and thioacetates.;try,under,freedom,standard,which
